ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO,ID_hecho,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,AÑO,DIA_SEMANA,Categoria_Participante,FALLECIMIENTO_MISMO_DIA
2016-0041,2,2016-03-29,2016,3,29,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,2016-0041,PASAJERO_ACOMPAÑANTE,MASCULINO,42,2016-03-30,2016,Tuesday,MOTO,0
2016-0043,1,2016-03-30,2016,3,30,18:15:00,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.","DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,2016-0043,PEATON,FEMENINO,56,2016-03-30,2016,Wednesday,PEATON,1
2016-0044,1,2016-03-31,2016,3,31,19:40:00,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.","MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,2016-0044,CONDUCTOR,MASCULINO,24,2016-03-31,2016,Thursday,MULTIPLE,1
2016-0045,1,2016-04-11,2016,4,11,10:25:00,10,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO-SD,MOTO,AUTO,2016-0045,CONDUCTOR,MASCULINO,42,2016-04-11,2016,Monday,MOTO,1
2016-0047,1,2016-04-15,2016,4,15,05:30:00,5,LIMA 1483,CALLE,LIMA,LIMA 1483,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,2016-0047,PEATON,MASCULINO,41,2016-04-15,2016,Friday,PEATON,1
2016-0048,1,2016-04-15,2016,4,15,17:40:00,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.5917024,PEATON-PASAJEROS,PEATON,PASAJEROS,2016-0048,PEATON,FEMENINO,42,2016-04-15,2016,Friday,PEATON,1
2016-0049,1,2016-04-17,2016,4,17,00:00:00,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,SD-SD,MOTO,CARGAS,2016-0049,SD,MASCULINO,42,2016-04-17,2016,Sunday,SD,1
2016-0050,1,2016-04-19,2016,4,19,09:50:00,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,2016-0050,PEATON,MASCULINO,78,2016-04-19,2016,Tuesday,PEATON,1
2016-0051,1,2016-04-20,2016,4,20,04:00:00,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,2016-0051,CONDUCTOR,MASCULINO,36,2016-04-20,2016,Wednesday,MOTO,1
2016-0052,1,2016-04-20,2016,4,20,20:00:00,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,"LUGONES, LEOPOLDO AV.",SD,13,,,MOTO-SD,MOTO,CARGAS,2016-0052,SD,FEMENINO,42,2016-04-20,2016,Wednesday,MOTO,1
2016-0053,1,2016-04-22,2016,4,22,09:30:00,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.4842918,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,2016-0053,PEATON,MASCULINO,38,2016-04-22,2016,Friday,PEATON,1
2016-0054,1,2016-04-23,2016,4,23,21:00:00,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,2016-0054,CONDUCTOR,MASCULINO,30,2016-04-25,2016,Saturday,MOTO,0
2016-0055,1,2016-04-25,2016,4,25,20:30:00,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,2016-0055,PEATON,MASCULINO,79,2016-04-28,2016,Monday,PEATON,0
2016-0056,1,2016-04-26,2016,4,26,04:45:00,4,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.","CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016-0056,CONDUCTOR,MASCULINO,26,2016-04-26,2016,Tuesday,MOTO,1
